	#	$	''	(	)	,	.	:	CC	CD	DT	EX	FW	IN	JJ	JJR	JJS	MD	NN	NNP	NNPS	NNS	PDT	POS	PRP	PRP$	RB	RBR	RBS	RP	SYM	TO	UH	VB	VBD	VBG	VBN	VBP	VBZ	WDT	WP	WP$	WRB	``
extending	-11.032403	-11.345482	-15.220462	-7.254117	-8.767426	-9.610441	-12.802145	-9.932710	-9.770176	-6.400287	-12.818621	-13.759204	-7.436254	0.615095	4.393776	-5.199220	-3.602858	-9.262021	4.802495	1.773170	-4.269584	-0.989953	-11.697639	-14.343065	-11.310951	-15.422710	0.315010	-8.428471	-11.092866	-6.996764	-8.976594	-15.583464	-10.569576	1.229690	-2.954346	7.627158	-1.875574	-0.148819	-4.720481	-12.456987	-16.491894	-11.616735	-9.646001	-8.478964
its	-5.215453	-8.387559	-12.661357	-8.248901	-6.072890	-7.597126	-8.013486	-7.685891	-5.860927	-11.101844	-11.298949	-16.889067	-7.506493	-3.327898	-1.669121	-10.840723	-12.882665	-14.398282	-2.603579	1.853629	3.197155	7.361678	-16.466515	-3.726208	6.565232	13.747700	-1.498626	-13.707986	-8.302674	-10.142703	-8.819203	-16.731009	-5.837163	-5.301407	-5.865576	-7.453522	-6.213907	-6.971837	4.497105	-13.675879	-13.308245	-18.263641	-14.046261	-13.322325
contract	-10.914261	-11.221675	-14.509624	-5.176678	-9.529475	-8.615131	-14.765237	-9.793758	-10.379942	-7.021214	-13.525852	-13.509759	-2.247242	-8.698266	4.393466	-5.485723	-4.552379	-1.471839	5.956303	1.713430	-4.342967	-0.368597	-11.802462	-13.631789	-15.240314	-17.225937	-0.270565	-5.617028	-8.092089	-8.801042	-7.742136	-9.750548	-13.965755	4.332692	0.427541	-0.458242	0.997372	2.476131	-3.097160	-8.215807	-12.094554	-10.778549	-10.012687	-9.121969
with	-9.372772	-11.997203	-12.093952	-11.565812	-10.396738	-11.447006	-10.219073	-14.137570	-7.091676	-7.517244	-3.815523	-14.025431	-8.572012	7.083726	2.739237	-7.343224	-6.516339	-1.542007	1.608111	-0.565413	-8.676167	-2.823949	-9.771249	-14.212979	-0.092514	-6.797592	0.280733	-12.599095	-11.467566	-3.436883	-8.752851	-12.826308	-9.988813	0.385104	-3.858335	-5.323001	-3.842484	-3.571117	-8.498594	-1.486759	-5.614150	-8.717674	-5.988113	-14.690169
Boeing	-17.290226	-10.072892	-15.039261	-7.442600	-8.097146	-12.570417	-20.028881	-12.693862	-6.675029	-9.094921	-6.149532	-14.000946	-17.535292	-0.951853	1.128737	-9.057633	-6.863375	-13.671354	1.411999	7.141925	-0.367185	-4.033753	-18.117741	-18.693930	-10.427383	-11.662481	-0.447773	-15.488319	-23.684629	-11.563775	-13.093637	-13.555895	-12.138327	-3.932982	-6.842283	2.446132	-4.532758	-7.384709	-10.227206	-13.050425	-15.176616	-19.763733	-8.033221	-9.832844
Co.	-19.068785	-13.398479	-14.512795	-4.845164	-4.746648	-10.516573	-11.870230	-5.637947	-9.191615	-9.896517	-14.975150	-19.304844	-16.408171	-11.155066	0.520703	-8.353096	-10.710789	-8.697389	1.175357	9.511014	-2.365983	-3.046173	-20.424099	-17.741411	-13.439838	-11.283228	-1.729579	-12.691145	-22.507660	-16.693945	-15.731309	-16.101320	-15.788077	-3.141634	-7.761161	-4.477679	-6.787081	-9.608624	-9.327824	-17.894651	-12.659561	-21.943783	-11.094587	-13.405062
to	-7.370830	-4.893897	-9.857117	-6.934582	-7.926226	-5.977903	-9.050160	-8.278963	-4.385123	-0.491133	-0.546777	-10.657193	-5.737771	0.964524	-0.068176	-9.338073	-6.620224	-0.716983	1.418302	0.703826	-8.213395	-3.615532	-12.746425	-8.874119	-4.982430	-9.475069	-0.022342	-12.329858	-5.137251	-2.444807	-7.019334	11.519252	-9.869136	0.594648	-1.909645	-7.882371	-2.838066	-0.439542	-6.843638	-6.426378	-1.670548	-10.562876	-7.233404	-7.268418
provide	-8.939814	-10.261011	-9.445314	-8.566497	-9.880501	-7.342670	-10.113030	-9.032889	-7.965478	-5.665283	-11.358112	-10.128284	-2.530652	-0.831053	1.941960	-3.477782	-9.206756	-7.601493	4.401226	0.179974	-4.045700	-0.098080	-10.973085	-10.458486	-10.149626	-11.659223	-1.255055	-7.921726	-12.840439	-5.987000	-7.617517	-11.502910	-12.896842	3.363497	0.644271	-1.034111	0.626348	1.782399	-3.580000	-9.325290	-12.705532	-9.483551	-10.139938	-10.859605
structural	-11.785504	-13.206577	-16.832100	-9.298694	-9.918646	-9.809346	-13.698627	-12.589372	-15.575613	-15.463231	-17.257339	-15.851468	-4.636902	-10.100188	7.008351	-1.740745	-0.529069	-4.365060	5.892344	4.258811	-5.107411	1.133232	-9.049254	-15.261599	-16.078012	-16.740389	0.956835	-6.204977	-8.982352	-10.914850	-11.995776	-18.477942	-13.474424	2.458544	0.265116	-1.799129	-1.673011	0.447199	-3.231708	-12.783216	-15.496599	-15.759336	-13.520772	-9.651122
parts	-9.681693	-11.610253	-13.765235	-3.557064	-6.351735	-8.048406	-11.240213	-7.705263	-11.846950	-17.187428	-13.942164	-15.831666	-3.950422	-10.129261	-1.395396	-7.909407	-8.691451	-9.829796	0.587926	0.944644	3.522099	9.307938	-16.278797	-1.652134	-11.132168	-8.112820	-2.123881	-7.224340	-9.940640	-12.917316	-9.834760	-9.494896	-13.379855	-2.330962	-2.500096	-5.537132	-3.840771	-2.854523	6.658349	-15.938344	-13.775339	-18.531588	-18.447599	-9.135560
for	-6.284726	-6.806795	-11.597198	-11.849757	-8.676481	-9.831136	-9.719112	-9.999868	-0.571997	0.115174	-0.480478	-11.184988	-5.446327	7.523680	1.695921	-0.908370	-9.043357	-9.039802	2.288058	-0.067132	-8.089592	-3.486630	-6.442403	-10.247150	-4.811131	-4.336343	0.862337	-3.617966	-9.214725	-4.400836	-5.907354	-5.986910	-6.370851	0.854539	-2.534399	-5.440754	-3.194667	-1.326370	-5.420272	-1.149971	-5.722147	-7.399884	-5.310346	-7.894227
Boeing	-17.290226	-10.072892	-15.039261	-7.442600	-8.097146	-12.570417	-20.028881	-12.693862	-6.675029	-9.094921	-6.149532	-14.000946	-17.535292	-0.951853	1.128737	-9.057633	-6.863375	-13.671354	1.411999	7.141925	-0.367185	-4.033753	-18.117741	-18.693930	-10.427383	-11.662481	-0.447773	-15.488319	-23.684629	-11.563775	-13.093637	-13.555895	-12.138327	-3.932982	-6.842283	2.446132	-4.532758	-7.384709	-10.227206	-13.050425	-15.176616	-19.763733	-8.033221	-9.832844
's	-6.476156	-4.831952	-2.613943	-3.203316	-2.741053	-7.398675	-7.076486	-5.527689	-8.056317	-14.053363	-9.193522	-13.655941	-5.766042	-3.679708	-1.975403	-6.327087	-7.192262	-3.880865	-1.351349	0.340445	-0.486252	3.389644	-14.110942	9.290623	-2.486895	-4.800724	-0.507859	-7.577024	-7.355135	-11.315379	-7.631207	-10.549873	-7.337454	-4.516353	-4.378013	-7.990664	-7.769899	-2.222041	6.211274	-8.933887	-9.666680	-10.090362	-9.391155	-6.319464
747	-16.353794	-9.424407	-22.336218	-12.266426	-14.618532	-11.917726	-12.761551	-13.203811	-24.878016	14.582601	-6.618205	-10.523996	-10.785786	-4.568838	3.852905	-9.047402	-15.214052	-11.822606	3.242906	2.990338	-6.580889	1.497578	-13.717473	-30.352793	-9.085801	-9.947240	-2.690529	-9.835552	-20.904617	-16.020599	-12.514669	-13.892906	-14.095671	-1.387073	-5.968368	-7.489994	-4.176793	-5.429612	-10.362065	-18.036276	-19.044615	-20.483597	-8.647377	-22.303581
jetliners	-12.923460	-14.814289	-19.791441	-13.600060	-12.904558	-11.850560	-15.427847	-13.630367	-14.267282	-18.442972	-19.832497	-21.540092	-7.323005	-1.292939	0.530373	-6.866049	-10.276880	-21.539591	3.043516	1.089187	2.268345	8.618243	-17.320700	-10.928080	-11.645287	-10.259183	0.878252	-11.844722	-16.397963	-16.525156	-12.426781	-26.587297	-12.828027	-2.269634	-3.676885	-3.283291	-5.350553	-4.420923	3.475916	-19.040550	-23.762344	-22.198351	-18.073460	-17.378662
.	-4.889622	-7.685586	-9.868067	-4.677211	-6.070985	-3.600317	14.206449	-0.120073	-10.644364	-2.514780	-8.382020	-15.635897	-6.553740	-5.241173	-1.235498	-8.295115	-12.284819	-5.976274	-0.657619	2.124675	-4.316277	0.695384	-9.166097	-6.504147	-6.170496	-6.924646	-3.244812	-12.567605	-15.127402	-13.390035	-8.975677	-13.298019	-7.815685	-3.004294	-4.266465	-5.975457	-5.944333	-6.200992	-3.236686	-11.222269	-4.426824	-9.313646	-5.481520	-12.530493
Rockwell	-18.578558	-12.255836	-16.308002	-8.327402	-7.311033	-13.923062	-22.379927	-15.428761	-13.226924	-17.877508	-10.392830	-15.391239	-13.170174	-12.287685	3.470705	-4.586502	-5.311102	-6.913094	4.304645	8.133817	0.856530	-1.111779	-13.839908	-18.731161	-12.708540	-14.250316	3.044527	-8.028622	-15.558618	-14.475253	-13.845627	-16.073626	-12.904724	-0.201218	-4.208268	-1.069257	-3.616507	-4.421041	-7.194856	-16.187538	-21.703815	-21.165186	-18.904270	-14.417214
said	-9.043384	-10.154954	-9.851665	-6.560730	-8.208152	-9.076818	-6.584509	-7.431395	-7.487142	-9.348319	-11.626649	-10.647621	-4.042674	-6.233310	1.426522	-3.431686	-7.198516	-1.445091	2.211216	0.111146	-4.980559	-1.277014	-12.050804	-5.008530	-7.512573	-17.295723	-2.089303	-6.250458	-7.902590	-4.883924	-8.405609	-10.997054	-10.775450	1.556978	7.807386	-3.760723	2.284186	1.045407	-1.332561	-12.721431	-7.007277	-4.641470	-8.691527	-8.685743
the	-6.975177	-6.428631	-6.863160	-10.992915	-10.412994	-7.202310	-9.719199	-12.518996	-7.784618	-1.060628	10.587816	-3.329900	-5.238018	3.234140	0.872768	-4.286257	-8.684869	-5.987348	0.562039	-1.835257	-9.267535	-3.741243	-5.814382	-10.669421	3.253792	-4.725004	0.356982	-7.219345	-13.108088	-7.435401	-6.589210	-6.626804	-5.970565	0.529578	-1.962121	-9.697666	-3.867212	-0.583885	-5.851234	1.783116	-6.446864	-5.330455	-6.441249	-11.317220
agreement	-12.380342	-16.400154	-15.676968	-12.448504	-12.987056	-14.735869	-18.130926	-16.640116	-10.904690	-10.793778	-10.118041	-12.394463	-5.662816	-6.623377	4.714542	-8.084100	-4.957693	-12.024591	6.222604	2.409808	-4.928516	0.552259	-13.705407	-15.706508	-13.113051	-22.168427	1.609427	-11.358924	-14.881820	-8.553189	-12.586070	-20.463552	-12.440661	1.822282	-0.531895	-0.266984	-0.132684	1.330875	-3.980769	-11.744643	-17.534016	-14.667416	-9.248886	-14.192142
calls	-7.831998	-7.329882	-10.417560	-4.759121	-7.224722	-5.510177	-6.666059	-6.798875	-14.070444	-15.989774	-6.330562	-15.961434	-6.057414	-9.761787	-1.279115	-9.048388	-11.732311	-4.001872	-1.322067	0.937264	1.496994	6.713249	-10.275992	-1.879611	-7.437973	-6.576106	-0.692864	-8.965878	-11.209578	-13.807924	-8.838309	-10.355697	-8.260808	-2.403972	-2.828929	-7.585537	-5.377243	-4.449629	6.817070	-14.400920	-13.067048	-17.869772	-16.062923	-9.502897
for	-6.284726	-6.806795	-11.597198	-11.849757	-8.676481	-9.831136	-9.719112	-9.999868	-0.571997	0.115174	-0.480478	-11.184988	-5.446327	7.523680	1.695921	-0.908370	-9.043357	-9.039802	2.288058	-0.067132	-8.089592	-3.486630	-6.442403	-10.247150	-4.811131	-4.336343	0.862337	-3.617966	-9.214725	-4.400836	-5.907354	-5.986910	-6.370851	0.854539	-2.534399	-5.440754	-3.194667	-1.326370	-5.420272	-1.149971	-5.722147	-7.399884	-5.310346	-7.894227
it	-7.097120	-9.856272	-12.958389	-11.649562	-8.318230	-9.382191	-10.304633	-11.258405	-3.956920	-5.071591	-9.661233	-12.707683	-5.153875	-1.292455	3.237130	-7.834685	-8.037954	-8.903747	3.589823	1.250173	-4.673312	-0.880047	-10.040655	-13.253699	9.549953	2.404945	0.341688	-10.443977	-7.499359	-3.935755	-6.738312	-15.780735	-10.059114	1.826897	-1.612886	-2.365502	-1.345476	-1.610553	-6.143634	-8.909584	-12.287626	-11.452597	-9.212464	-13.850581
to	-7.370830	-4.893897	-9.857117	-6.934582	-7.926226	-5.977903	-9.050160	-8.278963	-4.385123	-0.491133	-0.546777	-10.657193	-5.737771	0.964524	-0.068176	-9.338073	-6.620224	-0.716983	1.418302	0.703826	-8.213395	-3.615532	-12.746425	-8.874119	-4.982430	-9.475069	-0.022342	-12.329858	-5.137251	-2.444807	-7.019334	11.519252	-9.869136	0.594648	-1.909645	-7.882371	-2.838066	-0.439542	-6.843638	-6.426378	-1.670548	-10.562876	-7.233404	-7.268418
supply	-10.208617	-10.791569	-10.259437	-12.631825	-9.188424	-13.331522	-11.301106	-13.302177	-8.903708	-10.890450	-8.700190	-15.777371	-8.424944	-7.610218	3.867927	-8.302976	-9.801953	-6.473184	4.030215	1.769103	-7.383403	-1.875537	-8.460266	-11.683455	-11.485089	-15.456770	3.869976	-12.309416	-14.357211	-11.807305	-11.528725	-14.608176	-8.401632	3.027390	-2.392464	-3.284702	-3.255526	0.904574	-2.231558	-9.125048	-15.325218	-13.230559	-9.533682	-7.846207
200	-13.495371	-6.549026	-15.329283	-6.917858	-7.883016	-10.706639	-10.146754	-5.804160	-18.158085	12.334908	-8.436614	-7.287182	-9.316453	-5.031975	3.913221	-5.685782	-11.729089	-10.750759	2.893583	3.368714	-6.039752	-1.314666	-14.257437	-23.335052	-6.403735	-5.306423	-1.281612	-7.056388	-15.331621	-12.666013	-9.741528	-11.510843	-11.987034	-1.243951	-6.041223	-5.535862	-3.254956	-4.475244	-11.471845	-15.419704	-15.914246	-16.979427	-5.259120	-16.137432
additional	-13.363957	-15.784607	-17.636023	-13.118800	-13.152074	-17.596188	-14.250599	-15.503295	-13.205050	-11.022830	-7.368968	-18.334728	-8.972223	-6.802317	7.709848	-4.275277	-8.096574	-5.322443	5.822491	3.454211	-5.949496	0.055597	-10.810231	-25.579054	-15.446710	-19.217037	-0.814991	-9.457850	-17.221104	-13.447405	-11.822742	-19.464508	-18.169464	-0.169937	-1.566550	-1.990350	-4.128767	-2.600389	-8.464314	-11.840714	-18.063116	-17.391680	-17.466833	-14.197379
so-called	-16.659719	-17.043882	-15.120079	-6.654815	-9.173276	-13.414038	-20.193054	-7.102863	-19.104574	-16.660410	-15.530590	-21.802992	-7.475257	-18.487282	9.129690	-5.721437	-7.949594	-5.368678	2.152140	1.098580	-5.124958	-0.200752	-17.748096	-14.015936	-14.195246	-25.241478	-0.269062	-12.050529	-18.769482	-18.562372	-13.300537	-23.058893	-17.127077	0.633612	3.487981	-10.270325	3.402021	-3.242616	-2.734825	-15.902350	-18.619326	-14.508898	-15.424026	-11.548655
shipsets	-9.308601	-8.912149	-14.515296	-8.343807	-8.815760	-9.008403	-10.865688	-10.096893	-13.581542	-11.722197	-9.420174	-15.485053	-6.764446	-7.477156	-2.300841	-9.951841	-8.873440	-12.697186	-0.441390	1.927193	2.265406	8.986903	-17.306152	-4.445342	-3.010422	-2.432500	-2.619791	-11.068557	-9.408825	-14.933950	-10.619509	-13.425394	-7.605364	-3.530066	-4.815874	-7.709951	-4.707297	-5.824921	6.410145	-13.795266	-15.722671	-14.362028	-15.676708	-10.034617
for	-6.284726	-6.806795	-11.597198	-11.849757	-8.676481	-9.831136	-9.719112	-9.999868	-0.571997	0.115174	-0.480478	-11.184988	-5.446327	7.523680	1.695921	-0.908370	-9.043357	-9.039802	2.288058	-0.067132	-8.089592	-3.486630	-6.442403	-10.247150	-4.811131	-4.336343	0.862337	-3.617966	-9.214725	-4.400836	-5.907354	-5.986910	-6.370851	0.854539	-2.534399	-5.440754	-3.194667	-1.326370	-5.420272	-1.149971	-5.722147	-7.399884	-5.310346	-7.894227
the	-6.975177	-6.428631	-6.863160	-10.992915	-10.412994	-7.202310	-9.719199	-12.518996	-7.784618	-1.060628	10.587816	-3.329900	-5.238018	3.234140	0.872768	-4.286257	-8.684869	-5.987348	0.562039	-1.835257	-9.267535	-3.741243	-5.814382	-10.669421	3.253792	-4.725004	0.356982	-7.219345	-13.108088	-7.435401	-6.589210	-6.626804	-5.970565	0.529578	-1.962121	-9.697666	-3.867212	-0.583885	-5.851234	1.783116	-6.446864	-5.330455	-6.441249	-11.317220
planes	-10.110115	-12.687076	-13.958180	-9.441553	-9.723025	-10.534361	-13.799010	-8.760330	-10.587710	-14.626276	-13.379306	-16.622124	-5.153162	-9.940461	-0.894928	-6.516945	-9.760703	-12.156161	1.921059	1.237172	1.999719	8.945500	-15.298717	-3.516655	-9.384086	-11.715568	-2.520256	-8.387842	-12.633776	-13.023758	-10.950320	-16.964325	-8.555338	-0.933886	-3.208584	-4.830400	-3.086010	-3.491314	7.107715	-19.085497	-17.452078	-18.497828	-17.651834	-10.610173
.	-4.889622	-7.685586	-9.868067	-4.677211	-6.070985	-3.600317	14.206449	-0.120073	-10.644364	-2.514780	-8.382020	-15.635897	-6.553740	-5.241173	-1.235498	-8.295115	-12.284819	-5.976274	-0.657619	2.124675	-4.316277	0.695384	-9.166097	-6.504147	-6.170496	-6.924646	-3.244812	-12.567605	-15.127402	-13.390035	-8.975677	-13.298019	-7.815685	-3.004294	-4.266465	-5.975457	-5.944333	-6.200992	-3.236686	-11.222269	-4.426824	-9.313646	-5.481520	-12.530493
These	-13.853494	-9.000461	-11.016166	-13.073617	-7.894619	-11.639603	-16.476835	-16.045412	-11.486499	-5.890607	8.206851	-3.563252	-13.413701	0.793853	-0.287867	-5.581880	-5.612112	-9.576447	0.084092	1.010991	-5.112869	-3.555815	-12.619577	-9.971017	-1.650604	-4.572349	2.194234	-7.213371	-13.767060	-13.886889	-9.984739	-9.306963	-6.176926	-2.905143	-8.027568	-9.381663	-6.703804	-5.766488	-7.583933	-2.037470	-11.355048	-7.844701	-6.356298	-15.680455
include	-8.168761	-10.086282	-10.598758	-11.863027	-10.881808	-7.188291	-7.450927	-12.647067	-6.439371	-4.763200	-6.715993	-14.417062	-4.035810	-0.081966	2.118327	-4.692699	-10.695462	-9.391273	3.503584	0.645714	-5.359696	-1.359789	-6.877927	-12.640488	-3.982668	-8.835830	0.747610	-8.772541	-12.229364	-7.273755	-8.146870	-16.235590	-8.057257	3.268790	0.494489	-0.286579	-0.886760	3.472293	-2.813070	-8.557310	-16.435110	-10.793976	-10.034068	-10.851236
,	-13.581043	-9.872703	-9.883393	-10.017828	-7.933084	14.421518	-8.856867	-8.433417	-10.860093	-2.199082	-6.159748	-17.000822	-10.582095	-3.538442	-0.894004	-10.798315	-14.285456	-16.077103	-1.877002	2.917895	-2.251336	0.938418	-15.088400	-7.367509	-9.017151	-9.794456	-0.874971	-15.746119	-20.629662	-12.781857	-12.016196	-12.914561	-10.960160	-4.206653	-9.212708	-12.921544	-7.568259	-8.509542	-3.234344	-16.091478	-12.838821	-19.756239	-11.412603	-15.898112
among	-11.728775	-12.380325	-15.074666	-10.519324	-13.647918	-11.012198	-15.345846	-13.816932	-6.311718	-5.739252	-9.749281	-19.272865	-10.026665	8.146524	3.077417	-7.427869	-6.110501	-9.582756	3.490847	2.244929	-6.753155	-3.246927	-14.055419	-15.548734	-14.210777	-18.372374	1.718871	-19.994732	-18.445269	-7.832275	-12.275679	-15.839334	-11.377144	-0.761669	-4.891062	1.116473	-2.549294	-2.353658	-8.372041	-9.429729	-7.827222	-15.746153	-11.706629	-12.288184
other	-11.195210	-10.341768	-12.639533	-9.348713	-8.795481	-10.340803	-13.099638	-13.473719	-3.252540	-6.074141	-6.212459	-11.108716	-6.742360	-1.016398	5.916475	1.448671	-8.145900	-11.014379	3.457573	0.892876	-5.948892	-2.224952	-11.917318	-14.274735	-5.831021	-3.125222	1.739973	-1.894300	-12.662610	-6.111377	-9.107191	-16.708204	-8.418813	0.601317	-5.066883	-6.626835	-4.087095	-2.216196	-6.064197	-4.982682	-12.118884	-11.428213	-8.105302	-9.763557
parts	-9.681693	-11.610253	-13.765235	-3.557064	-6.351735	-8.048406	-11.240213	-7.705263	-11.846950	-17.187428	-13.942164	-15.831666	-3.950422	-10.129261	-1.395396	-7.909407	-8.691451	-9.829796	0.587926	0.944644	3.522099	9.307938	-16.278797	-1.652134	-11.132168	-8.112820	-2.123881	-7.224340	-9.940640	-12.917316	-9.834760	-9.494896	-13.379855	-2.330962	-2.500096	-5.537132	-3.840771	-2.854523	6.658349	-15.938344	-13.775339	-18.531588	-18.447599	-9.135560
,	-13.581043	-9.872703	-9.883393	-10.017828	-7.933084	14.421518	-8.856867	-8.433417	-10.860093	-2.199082	-6.159748	-17.000822	-10.582095	-3.538442	-0.894004	-10.798315	-14.285456	-16.077103	-1.877002	2.917895	-2.251336	0.938418	-15.088400	-7.367509	-9.017151	-9.794456	-0.874971	-15.746119	-20.629662	-12.781857	-12.016196	-12.914561	-10.960160	-4.206653	-9.212708	-12.921544	-7.568259	-8.509542	-3.234344	-16.091478	-12.838821	-19.756239	-11.412603	-15.898112
