	#	$	''	(	)	,	.	:	CC	CD	DT	EX	FW	IN	JJ	JJR	JJS	MD	NN	NNP	NNPS	NNS	PDT	POS	PRP	PRP$	RB	RBR	RBS	RP	SYM	TO	UH	VB	VBD	VBG	VBN	VBP	VBZ	WDT	WP	WP$	WRB	``
agreement	-20.594284	-17.643667	-27.700016	-15.394159	-23.932247	-21.774940	-18.652252	-16.601265	-23.938398	-15.783757	-16.991831	-22.136604	-24.603235	-6.888828	0.465194	-13.393797	-21.312111	-30.206459	8.191961	-5.253253	-25.026707	-6.185185	-18.502880	-22.184139	-7.303334	-27.679541	-5.072300	-18.159306	-27.484118	-25.976112	-19.439905	-13.700239	-26.053778	2.472569	-2.474252	-10.840851	-2.810607	0.508083	-12.905322	-28.264589	-22.414694	-29.068602	-20.513056	-18.149570
extending	-20.313288	-16.135965	-26.604071	-24.811716	-23.582470	-24.810511	-19.598148	-18.667383	-17.553827	-15.112006	-17.599251	-21.777861	-12.485922	-5.551403	4.558989	-9.384032	-19.077978	-27.475643	8.766868	-7.958758	-20.008127	-2.865457	-16.200596	-32.175980	-18.732325	-21.958681	-4.479577	-17.339500	-21.651487	-20.390221	-20.179588	-21.211744	-22.255787	2.151769	-5.746592	12.143695	-3.086954	-0.513871	-14.868140	-16.789831	-20.235994	-15.079216	-19.481207	-20.833622
its	-29.232515	-9.190836	-34.590069	-23.591482	-19.854086	-21.268663	-13.591363	-22.342611	-20.787392	-23.394382	-26.839216	-38.104195	-6.766553	-10.409507	-10.572233	-17.760485	-33.387829	-14.763201	-3.756854	-6.159626	-11.369205	3.391564	-33.411392	-12.806522	7.866319	24.291527	-14.664341	-17.923174	-29.249922	-28.217697	-13.919658	-17.524021	-12.726460	-8.141312	-7.733601	-19.765289	-11.288124	-12.336612	2.562127	-28.830050	-18.752535	-22.334988	-25.890142	-14.472938
contract	-19.651533	-19.763391	-22.990417	-19.922180	-21.963192	-19.263823	-25.325598	-29.859821	-18.112865	-13.528810	-16.296766	-17.768232	-9.831962	-8.987634	4.406781	-11.263559	-25.699499	-9.695011	9.197997	-15.263588	-32.466946	-8.705255	-16.676247	-25.567015	-19.502214	-22.102253	-1.850842	-14.679991	-18.703243	-10.828309	-20.956490	-18.405882	-26.531258	6.924909	-0.668503	-14.395336	-2.290905	4.308001	-13.545009	-19.314789	-23.334982	-27.820356	-21.168739	-20.118237
with	-16.569389	-15.983913	-17.051901	-19.307976	-20.728371	-21.218222	-23.020815	-15.745761	-18.799345	-25.751085	-10.035789	-22.389399	-12.044229	10.420032	-0.043946	-10.464943	-18.596277	-10.244889	-0.960728	-7.873222	-24.091776	-5.697192	-22.208250	-12.260863	-12.378626	-20.766851	1.071112	-14.807002	-9.058611	-8.444423	-14.802286	-20.187508	-15.127439	0.752321	-4.708096	-8.952188	-6.275604	-0.809384	-9.142509	-11.464477	-7.961310	-19.444359	-11.041131	-21.042601
Boeing	-23.632317	-12.479425	-25.644642	-21.786961	-17.448196	-15.510159	-18.629187	-20.110115	-26.663832	-14.899093	-18.903631	-21.640987	-16.931412	-2.089675	1.886473	-11.407570	-18.828987	-28.571428	4.078875	9.537306	-5.198339	-5.878698	-24.030268	-32.239475	-17.994081	-16.435932	-6.625717	-17.754391	-34.236347	-22.317347	-16.695627	-17.175915	-13.696322	-3.158891	-16.417843	0.662256	-8.022149	-7.629743	-22.068825	-20.820963	-20.176058	-27.978315	-19.041473	-14.857828
Co.	-39.507420	-27.045391	-40.298931	-37.859047	-35.820595	-39.666176	-15.581412	-19.470928	-21.887968	-20.984285	-32.747997	-43.003113	-11.326910	-13.280774	-2.629189	-28.557840	-59.332184	-24.475618	2.880728	16.295820	-21.443804	-18.587318	-34.388000	-30.609509	-11.712336	-26.792547	-12.905935	-38.247719	-70.950691	-35.016052	-26.149652	-32.301876	-36.449512	-4.487760	-27.513777	-34.741920	-20.663862	-10.413559	-18.775974	-38.855682	-19.362650	-45.072071	-26.631798	-32.171665
to	-17.946371	-16.582550	-26.895979	-30.102676	-32.113194	-15.675926	-27.652447	-21.743879	-27.677408	-12.833762	-13.858397	-33.622429	-13.244426	-5.936968	-10.465561	-29.171076	-35.501537	-20.370920	0.463946	-3.512609	-26.286560	-9.816661	-31.805359	-21.793108	-8.798689	-15.355687	-6.745907	-32.803688	-21.712322	-27.459217	-16.150366	18.904539	-14.671727	-3.740333	-9.522928	-26.690063	-10.559653	-4.094820	-18.765436	-19.454657	-11.112221	-26.009964	-25.326157	-20.079643
provide	-18.970152	-15.215775	-22.963215	-25.814861	-29.078175	-16.140894	-18.072840	-29.596432	-8.855552	-24.313919	-23.235800	-26.714155	-10.481628	-2.162851	2.173769	-14.974448	-22.913076	-14.844343	2.690139	-9.445474	-22.555485	-8.645225	-25.057285	-26.072708	-13.162230	-12.741583	-9.892323	-16.685646	-17.387768	-21.154139	-21.183794	-21.137283	-19.354103	8.404562	-1.060674	-13.960101	-3.581169	6.276390	-6.747366	-16.357132	-17.941553	-16.912907	-15.565091	-15.824993
structural	-21.195576	-21.240646	-21.844694	-13.933516	-15.071980	-22.040724	-30.543589	-20.586285	-20.083189	-24.449232	-21.782717	-23.379240	-9.408572	-21.543875	10.303968	-8.414006	-21.617641	-19.295744	6.754357	-5.471766	-29.217279	-9.526204	-8.639272	-24.204870	-15.371061	-24.752182	-0.586475	-11.894028	-24.965059	-33.116840	-24.728088	-26.468681	-28.609890	2.665047	-5.735694	-25.261776	-9.167422	-1.110089	-16.973070	-20.231714	-24.582453	-26.224972	-22.820835	-20.826639
parts	-20.312130	-15.508705	-24.694908	-21.333363	-18.780849	-21.832817	-18.899956	-20.302082	-12.530340	-17.224335	-14.463277	-24.192610	-3.886948	-7.369890	-4.817632	-14.212520	-19.391182	-30.278175	0.700552	-7.291550	-6.799374	7.502258	-19.659199	-11.554029	-12.993065	-13.998062	-2.165682	-13.172048	-23.841253	-19.428455	-19.057537	-23.329432	-23.497145	-6.877999	-9.720148	-13.916135	-9.583758	-9.297092	2.774633	-19.456629	-26.282812	-21.358555	-33.212952	-18.325546
for	-16.058813	-19.394098	-20.379133	-23.604345	-21.124954	-22.343082	-20.044889	-15.478187	-4.379560	-5.934780	-12.236706	-38.702248	-15.052483	12.590060	0.944837	-17.243267	-30.497206	-25.711006	1.708988	-12.627088	-28.692360	-9.422001	-15.855237	-19.012613	-12.669607	-13.997440	4.891370	-15.931007	-23.957462	-12.074608	-24.895523	-21.854389	-18.951262	0.314998	-15.343039	-15.005731	-10.622852	-3.250612	-12.767645	-17.757391	-18.147549	-25.428413	-21.309668	-22.656351
747	-25.605646	-15.463011	-31.773413	-19.868713	-28.094749	-34.355766	-21.145813	-23.313860	-18.845997	17.114210	-21.410589	-29.020823	-18.811121	-15.517240	5.122913	-26.720215	-42.432507	-32.562553	4.134532	-2.387233	-17.523260	-1.551048	-32.972240	-31.401272	-8.282383	-16.274906	-3.708102	-32.548218	-42.161652	-27.067104	-17.960009	-26.364122	-32.608067	-2.549695	-12.919373	-14.384815	-5.873899	-7.528666	-17.044697	-46.075096	-37.724091	-31.810984	-25.466259	-26.133884
jetliners	-35.911488	-20.540434	-41.042480	-23.272863	-22.846256	-24.127934	-35.282852	-37.337162	-38.128899	-25.690224	-40.977112	-35.746754	-16.573963	-26.580677	-1.765462	-16.066620	-18.251026	-49.868805	3.644359	-9.986652	-12.816852	12.331985	-28.876095	-28.736668	-22.068476	-36.907040	-5.875298	-21.730972	-27.603626	-32.780472	-31.680954	-38.984516	-34.352379	-4.927175	-8.001106	-11.228923	-11.572373	-11.167780	2.055929	-44.137272	-42.035313	-40.867645	-37.823009	-31.203732
.	-36.207939	-22.015827	-57.281116	-41.797836	-38.490383	-28.647579	27.858364	-11.314662	-8.798054	-16.743494	-22.061344	-66.697853	-20.582352	-8.782349	-8.796003	-37.383869	-66.876709	-69.998604	-2.064045	8.472060	-15.520887	-14.095398	-46.259018	-38.478233	-7.711843	-19.386616	-11.216338	-45.588135	-82.191017	-41.976135	-19.871002	-36.984924	-24.434519	-13.061762	-23.786186	-31.176416	-29.084782	-12.265724	-23.108482	-33.926407	-26.167772	-33.491104	-36.037048	-30.864479
the	-13.579109	-17.785545	-17.637600	-23.213612	-20.986057	-13.047449	-23.873768	-19.140419	-10.472234	-12.641185	18.104063	-8.676773	-13.431074	10.736524	-3.493045	-22.671661	-21.228626	-18.418682	3.436165	-4.087109	-15.006640	-12.373780	-16.449747	-18.694384	3.538369	-8.828356	7.204504	-20.528799	-19.958948	-12.994980	-17.616362	-4.576669	-12.376125	-1.630176	-20.606552	-22.851135	-22.325121	-0.639229	-22.646521	-1.529731	-16.980114	-22.432478	-15.926657	-19.411894
calls	-24.816515	-12.745899	-23.746830	-17.806959	-19.518644	-16.504396	-20.614889	-22.602577	-21.254927	-18.748217	-25.381805	-21.823956	-12.374959	-11.053176	-3.827060	-12.928836	-15.702758	-17.220978	-2.328212	-12.305502	-14.490598	9.399603	-17.837801	-17.312590	-11.352381	-15.280718	-8.436711	-16.574221	-20.811537	-25.072689	-20.065384	-21.949181	-19.491011	-5.725562	-5.403886	-12.513743	-11.035499	-8.252703	9.529723	-23.426895	-21.825191	-24.406096	-27.316809	-17.292809
supply	-21.555616	-18.682116	-23.999718	-19.529449	-25.326384	-22.957947	-19.632181	-20.148785	-23.426991	-18.499052	-8.446115	-24.305325	-20.870016	-8.785426	3.137052	-17.395329	-14.981034	-21.567980	6.280149	-12.172284	-26.033600	-3.497542	-11.920351	-24.044510	-12.335560	-28.130577	2.800365	-28.537153	-27.664871	-18.868448	-18.812370	-24.588860	-8.577443	4.994118	-8.978910	-15.587000	-10.816897	2.579705	-14.726921	-15.506256	-22.214272	-18.898968	-19.950447	-17.581900
200	-23.110332	-11.385290	-31.427111	-26.838108	-23.985552	-26.217485	-21.259615	-12.851558	-21.727497	28.372139	-22.474419	-30.199226	-24.918770	-13.321436	-0.270527	-24.706192	-34.784203	-45.359951	2.198508	4.365223	-8.655283	-4.192790	-34.301090	-33.315239	-8.848927	-27.318947	-4.354634	-45.441757	-45.847569	-34.632446	-18.148901	-24.211998	-22.548466	-5.295028	-20.756422	-6.362246	-12.510376	-5.300101	-16.032150	-33.882904	-25.036341	-28.892437	-16.752151	-18.593731
additional	-26.351656	-26.659277	-28.866299	-22.584572	-25.264292	-31.248665	-28.447529	-26.068245	-21.055143	-28.515020	-16.502583	-26.874882	-10.745856	-16.407562	11.684340	-18.468412	-15.792912	-28.046165	6.522802	-9.892804	-34.751755	-4.517232	-14.502995	-33.226891	-27.316580	-36.468658	-2.197792	-23.185606	-24.949654	-31.445250	-26.023054	-32.563393	-31.602961	2.158943	-9.500029	-17.266420	-11.719801	-0.920722	-15.337401	-18.948080	-28.088682	-30.652435	-35.646957	-24.810019
so-called	-22.547243	-12.095188	-20.562283	-17.451384	-8.339828	-22.698629	-27.366507	-25.360565	-19.168285	-18.461807	-25.150984	-32.495029	-17.180553	-11.715489	10.531164	-8.210388	-12.837271	-20.738243	-2.285718	-7.097119	-33.558277	-8.665154	-20.131777	-22.668037	-6.473466	-26.598202	-8.083237	-24.569099	-22.104898	-19.743738	-23.444553	-18.640320	-24.406223	-3.876937	-4.936837	-39.730244	-1.949569	-9.863191	-18.855354	-24.166424	-23.989923	-28.596333	-30.100452	-23.785769
shipsets	-17.810856	-10.716782	-19.584475	-13.069992	-13.917035	-10.294251	-13.270480	-16.933697	-13.604358	-17.971218	-4.650128	-19.331356	-8.308002	-3.767116	-3.214669	-13.418585	-16.023169	-24.499456	-3.857671	-7.741487	-7.232375	7.366519	-12.435301	-9.201694	-6.765259	-6.191276	-3.667580	-14.262413	-15.661138	-18.157549	-13.563642	-18.105982	-11.102629	-7.440193	-12.421838	-14.192525	-10.547965	-9.020500	6.342138	-11.007827	-11.234692	-15.737835	-22.391457	-13.753674
planes	-20.229738	-14.780493	-29.360840	-21.147657	-21.076038	-18.914057	-18.606577	-16.373955	-24.947786	-20.141233	-14.268750	-24.110786	-6.764470	-10.987121	-6.535762	-17.312675	-13.711538	-24.129498	-0.510614	-6.507085	-9.511098	9.468019	-19.193180	-15.228719	-6.451187	-15.099973	-9.210005	-15.702440	-17.495111	-28.645580	-18.123253	-16.853609	-13.657603	-4.115735	-12.929306	-14.858109	-8.848250	-8.196545	7.329391	-23.783813	-19.200539	-20.459240	-24.755041	-14.973249
These	-18.703901	-11.434479	-27.585333	-20.889414	-17.940615	-10.901008	-23.164474	-21.703762	-30.974606	-8.355597	17.811869	-4.290512	-20.516556	2.069727	-0.504602	-11.542545	-9.008768	-24.701376	0.476230	3.262230	-11.552735	-7.461584	-25.748039	-31.519337	-5.571239	-8.230117	2.665835	-13.681930	-25.488733	-26.945845	-21.742748	-7.980493	-9.486774	-8.170530	-16.530928	-22.682678	-15.907036	-7.773459	-24.728865	-21.032757	-26.735903	-19.204941	-20.009583	-7.938684
include	-19.614735	-23.326670	-20.811962	-21.079130	-24.025187	-17.283701	-23.256104	-24.393824	-9.168285	-11.589338	-13.792379	-17.048319	-9.658198	-5.057043	1.854951	-20.571445	-26.287521	-21.901403	5.438739	-19.556807	-40.185902	-13.654462	-10.786808	-25.296215	-16.387609	-25.841007	-3.708617	-20.344833	-26.508884	-14.786239	-19.437628	-19.469566	-29.097107	8.490231	-6.008060	-15.843275	-7.256464	8.593837	-10.265112	-19.080589	-22.359879	-23.388363	-26.636700	-20.558985
,	-59.320377	-24.174349	-65.959961	-57.437595	-56.660664	26.769880	-54.467159	-58.691486	-65.552078	-36.822105	-44.006931	-87.080605	-52.922344	-21.040728	-5.740263	-50.335148	-69.103828	-77.808830	-5.677688	-2.883000	-43.422489	-23.736877	-77.378738	-61.599514	-18.314287	-37.127003	-22.871075	-65.180733	-78.922897	-77.275635	-48.786350	-39.059139	-53.109867	-5.256250	-20.355333	-41.611145	-24.116005	-11.519170	-32.123837	-56.899139	-36.581730	-56.645111	-45.331104	-31.591875
among	-20.457369	-9.965595	-22.747587	-22.495398	-21.028923	-25.776014	-20.439579	-18.670633	-20.528896	-11.597781	-15.034000	-26.876123	-17.917183	10.868262	5.470650	-9.452230	-10.889010	-26.409986	0.709278	-9.163165	-23.146597	-4.474058	-22.537928	-25.760771	-16.669880	-10.673546	1.770149	-13.052496	-14.065577	-11.547400	-18.417543	-21.815708	-17.819355	-2.191998	-14.157999	-1.916458	-8.894991	-3.659483	-17.664671	-18.950834	-12.875234	-23.561989	-17.157185	-17.839300
other	-21.292439	-19.748688	-23.496544	-18.068182	-19.886230	-16.866760	-28.350096	-24.926041	-12.185882	-17.465755	-11.838409	-19.590048	-16.289650	-5.601971	7.062213	-2.435195	-13.855289	-27.149740	3.623550	-8.787442	-21.474182	-5.431113	-17.759018	-22.930750	-11.652666	-13.685452	2.276959	-10.387008	-14.788632	-16.539213	-18.647154	-21.569294	-22.230637	0.705256	-5.478759	-15.524277	-6.673403	-4.303440	-12.597881	-14.554662	-23.289057	-23.430754	-18.741112	-16.646500
each	-21.667896	-20.560011	-27.322205	-26.933178	-18.895378	-20.022011	-20.220448	-18.261110	-13.378007	-8.695572	12.381198	-9.115433	-8.695223	-2.266388	-0.454859	-13.258587	-22.352909	-25.258888	5.322534	-9.575519	-30.192118	-6.453842	-12.769876	-26.261337	-8.910767	-14.737089	-0.637882	-16.480572	-29.383135	-21.100285	-22.699844	-23.863287	-21.418770	3.349429	-13.077498	-17.451027	-12.571297	2.114504	-13.002696	-5.713205	-27.905968	-19.789673	-23.370640	-18.568806
jetliner	-26.770401	-20.034212	-33.246029	-24.037395	-23.385639	-25.300848	-33.971203	-30.988091	-27.424141	-17.347193	-29.962147	-31.228546	-11.775435	-20.112961	4.000650	-2.803468	-17.495747	-36.569454	10.315135	-11.118408	-25.963432	-4.841168	-18.427534	-32.305271	-22.122229	-34.860271	-3.149781	-11.083983	-25.762472	-23.523613	-27.506310	-33.666134	-32.662334	4.405100	-3.652585	-8.013836	-3.792788	-0.870811	-10.498702	-31.747557	-35.983074	-33.316460	-27.236229	-24.320152
two	-19.465294	-21.606293	-22.784901	-27.157167	-23.130903	-23.455626	-20.875961	-21.690542	-28.707401	14.918275	-7.538960	-30.020159	-10.808007	-4.656753	1.136097	-30.580715	-17.214340	-9.391210	-0.543043	-4.626777	-24.451715	-7.764677	-23.368990	-22.266764	-18.396393	-26.179108	0.834488	-29.728519	-21.215237	-22.884583	-22.413494	-15.284452	-17.996614	-3.656396	-1.239159	-21.762230	-5.609175	-2.420948	-18.743742	-20.181536	-25.245195	-20.609779	-13.928273	-17.480087
major	-30.268368	-35.084557	-39.131226	-37.241684	-37.025742	-36.000706	-39.058952	-46.802219	-21.681488	-32.140259	-33.834492	-52.337448	-15.726806	-18.407640	14.274950	-14.922512	-38.885490	-29.930689	2.260725	-2.349082	-30.471649	-9.099136	-23.982817	-37.897881	-26.453712	-24.072247	-3.570133	-20.547857	-32.669212	-38.832691	-39.627190	-29.349375	-45.290508	-1.739180	-16.139000	-18.714540	-13.673209	-7.999375	-11.317838	-28.790520	-33.851036	-39.800499	-37.939598	-35.108616
bulkheads	-22.659790	-17.058596	-27.657211	-15.491482	-14.432973	-21.802767	-21.070894	-21.207762	-17.022831	-18.764465	-17.403826	-26.725828	-9.080590	-7.335357	-6.762847	-24.001753	-24.962872	-20.954836	-1.025665	-8.362692	-9.399729	8.612734	-19.499229	-14.308712	-17.602903	-10.388463	-4.779765	-25.536659	-30.360102	-23.497591	-18.189899	-15.632710	-10.803578	-8.200174	-10.335854	-17.779329	-10.772720	-10.016167	5.655790	-19.650650	-22.841360	-24.897379	-25.081465	-20.382645
pressure	-17.603683	-17.622726	-21.095770	-19.314802	-24.497637	-20.334013	-19.650402	-22.390533	-21.133812	-13.661678	-7.142622	-16.054140	-9.116038	-11.064909	4.061654	-8.638990	-21.820248	-30.901512	8.475708	-7.902109	-24.155807	-10.379463	-13.815997	-22.920868	-9.538551	-17.565382	-3.445449	-13.560226	-19.979095	-16.965004	-18.339981	-20.264359	-20.847197	7.316174	-6.930449	-8.548856	-11.676242	3.742321	-11.702488	-17.144218	-29.265785	-20.088238	-23.166922	-22.495171
floor	-18.915653	-17.656338	-27.087318	-19.374037	-25.801300	-27.810394	-17.975771	-18.238682	-7.806148	-18.244181	-8.470502	-29.672184	-7.071812	-6.790346	1.453186	-3.396731	-21.529211	-26.866034	6.709645	-12.690317	-27.844336	-7.705386	-13.086582	-32.634430	-17.582298	-16.122284	-2.030158	-8.282999	-16.628731	-16.110788	-19.507889	-21.268381	-27.411425	2.067754	-9.745503	-12.211995	-6.591315	-0.329916	-11.635010	-20.459070	-20.081396	-21.045822	-34.961121	-23.223841
torque	-28.426311	-18.517962	-26.763435	-27.527727	-20.862528	-21.448374	-26.438759	-28.111462	-22.149357	-13.996429	-19.587706	-32.627747	-5.793155	-17.668650	0.318328	-14.146261	-25.359098	-35.198616	6.955905	-6.650115	-22.517925	-4.780462	-20.300501	-28.305998	-12.918755	-20.633541	-5.502563	-21.357004	-30.230595	-23.121937	-27.255852	-20.078144	-17.653492	4.063520	-4.703473	-10.102292	-2.053008	0.477234	-11.986504	-24.083353	-26.376055	-21.783644	-26.348286	-21.982908
box	-21.108219	-20.551022	-21.512312	-20.187811	-23.130077	-23.428843	-18.411314	-30.175505	-16.811871	-9.741834	-15.387547	-29.598017	-5.138617	-8.326214	-1.821643	-17.294987	-20.074293	-23.346344	6.375710	-11.459052	-24.695271	-2.247057	-18.636200	-22.806408	-17.577452	-28.790895	-6.518189	-21.686172	-29.658592	-17.941271	-17.236820	-19.417660	-21.383802	0.749466	-3.305240	-6.629096	-4.145263	0.861887	-10.068446	-18.420818	-18.006201	-23.927885	-24.070621	-16.511330
fixed	-25.887482	-20.000513	-27.710455	-20.593779	-25.116587	-29.943943	-22.142704	-26.722996	-22.601986	-4.080533	-29.521305	-21.122149	-14.036845	-21.870750	7.314408	-13.460006	-12.314791	-23.842466	-1.062366	-17.586491	-38.337597	-5.753805	-27.361824	-31.497162	-16.149284	-22.872269	-11.482938	-24.468300	-31.256989	-23.142143	-20.409870	-29.300249	-24.888140	-1.792854	10.375916	-16.275335	11.590141	-7.365268	-13.661609	-25.625643	-22.711742	-21.787668	-25.446901	-26.478390
leading	-20.461729	-13.196943	-28.087437	-21.545895	-19.123062	-17.830488	-24.142916	-21.251955	-18.590508	-19.693890	-20.469635	-21.399815	-11.096451	-4.960021	5.343150	-10.236911	-7.416565	-27.428907	8.725868	-12.534091	-24.985283	-1.016052	-20.347443	-33.830700	-16.059433	-22.222065	-4.721854	-16.371115	-8.006358	-15.906596	-22.375107	-24.031700	-19.293652	2.054130	-7.005708	11.242927	-5.514857	-1.862321	-11.861641	-16.910633	-27.277206	-17.888517	-27.500523	-19.974554
edges	-25.230227	-13.313072	-30.092081	-15.600626	-19.670881	-26.087534	-27.725487	-14.665317	-26.322693	-16.319080	-17.280388	-21.836269	-10.507659	-25.566566	-3.527356	-20.689919	-14.969616	-27.035805	-1.580254	-14.290886	-25.011381	6.332672	-19.256695	-21.040274	-9.109848	-14.441705	-7.493195	-18.378746	-26.008541	-30.358545	-21.040293	-27.918732	-17.115564	-3.926795	-10.108167	-13.839539	-9.796374	-8.262860	5.060191	-38.606106	-33.269218	-26.218639	-34.111290	-25.390190
